ENST00000278353.10	HSD17B12
ENST00000278505.5	ENDOD1
ENST00000279441.9	MMP10
ENST00000279839.8	CWC15
ENST00000279873.12	ARID5B
ENST00000280096.5	HNMT
ENST00000280097.5	HNMT
ENST00000280612.9	SLC7A11
ENST00000282406.9	PLEKHH2
ENST00000282878.6	RAB3C
ENST00000283351.9	TRAPPC8
ENST00000284425.7	ABCA6
ENST00000284669.2	KLHL41
ENST00000285735.6	RHOC
ENST00000290541.7	PSMB4
ENST00000291294.7	PTGIR
ENST00000295050.12	SPRTN
ENST00000295087.13	ARL5A
ENST00000295304.5	CHAC2
ENST00000295633.8	FSTL1 
ENST00000296181.9	ITGB5
ENST00000296351.8	MELTF
ENST00000296577.9	ABCE1
ENST00000297273.9	CASD1
ENST00000297770.10	CPA6
ENST00000298198.5	PGM2L1
ENST00000298545.4	AK8
ENST00000298746.5	TRUB1
ENST00000299608.7	TMX3
ENST00000299977.9	SLFN5 
ENST00000301905.9	PBK
ENST00000302692.7	SLC25A33
ENST00000303045.11	COL22A1
ENST00000303115.8	IL7R
ENST00000303142.11	SHLD1
ENST00000304043.10	HINT1
ENST00000304056.9	KBTBD2
ENST00000304312.5	ATP5ME
ENST00000304385.8	TMEM154
ENST00000305366.8	TM4SF1
ENST00000305783.13	RNFT1
ENST00000305786.7	CYCS
ENST00000306602.3	CXCL10
ENST00000306621.8	CXCL11
ENST00000307358.7	HTRA3
ENST00000307851.9	HAVCR2
ENST00000308942.4	SIPA1L2
ENST00000309033.5	UBXN2A
ENST00000309166.8	NRIP3
ENST00000309246.9	TPT1
ENST00000309539.8	OLR1
ENST00000311832.5	COMMD1
ENST00000311922.4	TRIB1
ENST00000314011.9	ZNF436
ENST00000315274.7	MMP1
ENST00000315567.13	MRPL1
ENST00000316149.8	NDUFAF4
ENST00000316660.6	PMAIP1
ENST00000317089.10	DNAJA2
ENST00000317702.10	TUBB6
ENST00000319074.6	C14orf119
ENST00000319357.6	STK17A
ENST00000319942.8	RABGGTB
ENST00000321394.12	TCP1
ENST00000321437.9	RAB8B
ENST00000321764.4	CA13
ENST00000322897.11	NAPG
ENST00000324439.9	RCHY1
ENST00000324868.13	YARS2
ENST00000326474.4	C3orf80
ENST00000328379.5	PTRHD1
ENST00000329366.8	HNMT
ENST00000329970.8	GTF3C6
ENST00000330029.6	UQCR10
ENST00000330374.6	VMA21
ENST00000331244.10	GLRX3
ENST00000332180.9	WASHC4
ENST00000332345.10	LIMS1
ENST00000333130.3	MRPL40
ENST00000333151.4	H2AC14
ENST00000333244.6	AHNAK2
ENST00000333421.6	ABHD17B
ENST00000333437.5	TEX19
ENST00000333628.4	TUBB2A
ENST00000333926.6	CISD1
ENST00000334077.6	TAL2
ENST00000334082.11	HOMER1
ENST00000334678.8	RPS19BP1
ENST00000335890.3	UXT
ENST00000337908.5	MS4A4A
ENST00000338379.5	H1-6 
ENST00000339697.5	SERINC1
ENST00000339766.8	CLEC2A
ENST00000339834.10	BORCS7
ENST00000341864.6	TAF9B
ENST00000341893.8	CEP97
ENST00000342649.9	TCAIM
ENST00000343307.5	B3GLCT
ENST00000349533.10	LEPR
ENST00000354480.2	RBM3
ENST00000355619.10	FBXL3
ENST00000356454.5	SOWAHC
ENST00000356692.10	PPP4R2
ENST00000356736.5	SLC39A8
ENST00000357430.8	ACSL3
ENST00000357749.7	CHM
ENST00000358671.9	FCGR2B
ENST00000358747.10	SLC26A6
ENST00000359172.3	AHCYL1
ENST00000360314.7	CASS4
ENST00000360803.9	GTPBP4 
ENST00000361131.5	PPP1R14C
ENST00000361203.7	DST
ENST00000361575.4	RLP39
ENST00000361681.2	MT-ND6
ENST00000362003.9	PCGF3
ENST00000362032.6	SUCNR1
ENST00000362704.1	SNORD18C
ENST00000362874.1	SNORD36A 
ENST00000363389.1	SNORD35
ENST00000364805.1	SNORD32A
ENST00000365493.1	SNORA62
ENST00000366553.2	CHML
ENST00000366654.5	FAM89A
ENST00000366695.3	HIST3H2A
ENST00000366862.10	FBXO28
ENST00000366932.4	RRP15
ENST00000366956.10	PTPN14
ENST00000367145.4	SLC45A3
ENST00000367351.4	ULBP2
ENST00000367460.4	RGS18
ENST00000367463.5	UST
ENST00000367510.8	RNF2
ENST00000367660.4	ABRACL
ENST00000367808.8	BLZF1
ENST00000367943.5	DUSP12
ENST00000367948.6	FCRLB
ENST00000368149.3	ARHGAP18
ENST00000368671.4	CLRN3
ENST00000368814.8	THEM4
ENST00000368845.6	OAT
ENST00000368985.8	CTSS
ENST00000369489.10	CD58
ENST00000369709.3	RAP1A
ENST00000369722.8	ATP5PB
ENST00000369851.7	GNAI3
ENST00000370397.8	CHUK
ENST00000370459.7	GBP5
ENST00000370466.4	GBP2
ENST00000370500.10	GTF2B
ENST00000370747.9	IFI44
ENST00000370783.8	MOSPD1
ENST00000370944.9	ANKRD13C
ENST00000370952.4	LRRC40
ENST00000370982.4	GNG12
ENST00000371419.7	PFDN4
ENST00000371437.5	NDUFA1
ENST00000371443.6	MRPL41
ENST00000371648.4	EDF1
ENST00000371795.5	IFIT5
ENST00000372014.5	MRPL14
ENST00000372037.7	BMPR1A
ENST00000372102.3	TP53RK
ENST00000373044.3	YRDC
ENST00000373212.6	SH3BGRL
ENST00000373620.7	DENND1A
ENST00000373943.9	STX12
ENST00000373960.4	DES
ENST00000374050.4	ATP6V1G1
ENST00000374148.1	TMEM273
ENST00000374151.7	TMEM273
ENST00000374514.8	LYPLA2
ENST00000374692.8	TMEM38B
ENST00000375078.4	CAMK2N1
ENST00000375991.9	ISCA1
ENST00000376350.8	PTPRH
ENST00000376736.6	RFK
ENST00000376755.1	RBM3
ENST00000377443.7	CA6
ENST00000377459.2	H2AC12
ENST00000377603.5	POLR3F
ENST00000377673.10	FAM216A
ENST00000378578.9	DYNLT3
ENST00000378588.5	CYBB
ENST00000379253.7	SAT1
ENST00000379341.9	PRDX4 
ENST00000379359.4	RGCC
ENST00000380615.8	KATNAL1
ENST00000380872.9	AKR1C1
ENST00000381151.5	SLC5A3
ENST00000381801.5	MTMR6
ENST00000381938.4	TMEM156
ENST00000381967.9	PGM2
ENST00000384107.1	SNORA1
ENST00000384339.1	SNORA72
ENST00000384675.1	SNORA41
ENST00000388090.1	SNORA40
ENST00000389567.9	ESYT3
ENST00000391911.5	LAMB3
ENST00000392583.6	OAS2
ENST00000392647.7	KLHL23
ENST00000392872.8	TDG
ENST00000393310.5	LIMS1
ENST00000393567.7	HYDIN
ENST00000393743.8	DDX60
ENST00000393820.2	NPM1
ENST00000394323.3	ERV3
ENST00000394485.5	MT1X
ENST00000394833.6	SLC39A8
ENST00000394884.7	CDC23
ENST00000395297.6	FAM135B
ENST00000396184.7	PDE1C
ENST00000396776.6	GAPT
ENST00000400256.5	COLEC12
ENST00000400282.6	MIR17HG
ENST00000400485.6	MORC3
ENST00000404377.3	TNFSF18
ENST00000407997.4	APOBEC3G
ENST00000409085.9	AAK1
ENST00000409223.2	KLHL30
ENST00000409600.6	BZW1
ENST00000409682.8	PSMD14
ENST00000415237.1	SUGCT 
ENST00000417314.2	KBTBD8
ENST00000418460.2	MAP10
ENST00000422989.5	IRGQ
ENST00000426126.6	ZDHHC17
ENST00000427358.3	FAHD1
ENST00000429530.1	SCAT8
ENST00000430046.7	FCHO2
ENST00000431388.3	NDUFAF8
ENST00000433230.1	Z97056.1
ENST00000434319.6	CLEC12A
ENST00000434344.2	CASS4
ENST00000437601.2	LINC01132
ENST00000440804.7	SIGLEC9
ENST00000441882.1	AC105446.1
ENST00000442417.5	AC093818.1
ENST00000443631.1	AL441992.1
ENST00000444122.2	RAMACL
ENST00000444129.7	RECQL
ENST00000447139.1	AC046143.1
ENST00000447944.7	PNPT1
ENST00000449457.1	LINC02561
ENST00000449768.2	OAS2
ENST00000450443.1	AC093818.1
ENST00000452357.6	OAS1
ENST00000455827.2	CLEC2A
ENST00000456414.2	AL390066.1
ENST00000456917.1	MIR155HG
ENST00000459299.1	SNORD13
